lecture_id,trace,policy,rebuffer_time_s,rebuffer_ratio,tier0_frac,tier1_frac,tier2_frac,tier3_frac,information_delivered
nptel_computer_networks_lec01,belgium_4g_rough,baseline,68.949,0.018853,1.0,0.0,0.0,0.0,0.9811
nptel_computer_networks_lec01,belgium_4g_rough,naive,57.447,0.015758,0.7424,0.0926,0.1639,0.0011,0.9125
nptel_computer_networks_lec01,campus_collapse,baseline,42.223,0.01163,1.0,0.0,0.0,0.0,0.9884
nptel_computer_networks_lec01,campus_collapse,naive,0.0,0.0,0.7371,0.2618,0.0,0.0011,0.9426
nptel_intro_machine_learning_lec01,norway_hsdpa,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_intro_machine_learning_lec01,norway_hsdpa,naive,0.0,0.0,0.9977,0.0,0.0,0.0023,0.9983
nptel_intro_machine_learning_lec01,norway_hsdpa_rough,baseline,2.943,0.001703,1.0,0.0,0.0,0.0,0.9983
nptel_intro_machine_learning_lec01,norway_hsdpa_rough,naive,0.0,0.0,0.8145,0.1831,0.0,0.0023,0.9564
nptel_intro_machine_learning_lec01,belgium_4g,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_intro_machine_learning_lec01,belgium_4g,naive,0.0,0.0,0.9977,0.0,0.0,0.0023,0.9983
nptel_intro_machine_learning_lec01,belgium_4g_rough,baseline,17.766,0.010198,1.0,0.0,0.0,0.0,0.9898
nptel_intro_machine_learning_lec01,belgium_4g_rough,naive,40.213,0.022793,0.9281,0.0696,0.0,0.0023,0.957
nptel_intro_machine_learning_lec01,campus_collapse,baseline,37.073,0.021049,1.0,0.0,0.0,0.0,0.9789
nptel_intro_machine_learning_lec01,campus_collapse,naive,6.062,0.003504,0.7424,0.2553,0.0,0.0023,0.9321
nptel_python_dsa_mukund_lec01,norway_hsdpa,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_python_dsa_mukund_lec01,norway_hsdpa,naive,0.0,0.0,0.9976,0.0,0.0,0.0024,0.9979
nptel_python_dsa_mukund_lec01,norway_hsdpa_rough,baseline,6.893,0.004151,1.0,0.0,0.0,0.0,0.9958
nptel_python_dsa_mukund_lec01,norway_hsdpa_rough,naive,0.0,0.0,0.1238,0.8738,0.0,0.0024,0.6815
nptel_python_dsa_mukund_lec01,belgium_4g,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_python_dsa_mukund_lec01,belgium_4g,naive,0.0,0.0,0.9976,0.0,0.0,0.0024,0.9979
nptel_python_dsa_mukund_lec01,belgium_4g_rough,baseline,37.961,0.022459,1.0,0.0,0.0,0.0,0.9775
nptel_python_dsa_mukund_lec01,belgium_4g_rough,naive,13.326,0.008002,0.6311,0.1602,0.2063,0.0024,0.859
nptel_python_dsa_mukund_lec01,campus_collapse,baseline,89.697,0.051494,1.0,0.0,0.0,0.0,0.9484
nptel_python_dsa_mukund_lec01,campus_collapse,naive,10.014,0.006025,0.5704,0.4272,0.0,0.0024,0.8448
mit_6_0001_intro_python_lec02,norway_hsdpa,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mit_6_0001_intro_python_lec02,norway_hsdpa,naive,0.0,0.0,0.9985,0.0,0.0,0.0015,0.9987
mit_6_0001_intro_python_lec02,norway_hsdpa_rough,baseline,80.565,0.029907,1.0,0.0,0.0,0.0,0.9701
mit_6_0001_intro_python_lec02,norway_hsdpa_rough,naive,0.0,0.0,0.1878,0.8107,0.0,0.0015,0.8213
mit_6_0001_intro_python_lec02,belgium_4g,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mit_6_0001_intro_python_lec02,belgium_4g,naive,0.0,0.0,0.9985,0.0,0.0,0.0015,0.9987
mit_6_0001_intro_python_lec02,belgium_4g_rough,baseline,83.548,0.030992,1.0,0.0,0.0,0.0,0.969
mit_6_0001_intro_python_lec02,belgium_4g_rough,naive,87.35,0.032359,0.882,0.1119,0.0046,0.0015,0.9436
mit_6_0001_intro_python_lec02,campus_collapse,baseline,229.382,0.080725,1.0,0.0,0.0,0.0,0.9192
mit_6_0001_intro_python_lec02,campus_collapse,naive,41.198,0.015528,0.5348,0.4636,0.0,0.0015,0.8816
mit_6_0002_comp_thinking_lec04,norway_hsdpa,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mit_6_0002_comp_thinking_lec04,norway_hsdpa,naive,0.0,0.0,0.9987,0.0,0.0,0.0013,0.9989
mit_6_0002_comp_thinking_lec04,norway_hsdpa_rough,baseline,201.946,0.063204,1.0,0.0,0.0,0.0,0.9367
mit_6_0002_comp_thinking_lec04,norway_hsdpa_rough,naive,0.0,0.0,0.1352,0.8635,0.0,0.0013,0.8542
mit_6_0002_comp_thinking_lec04,belgium_4g,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mit_6_0002_comp_thinking_lec04,belgium_4g,naive,0.0,0.0,0.9987,0.0,0.0,0.0013,0.9989
mit_6_0002_comp_thinking_lec04,belgium_4g_rough,baseline,96.497,0.031242,1.0,0.0,0.0,0.0,0.9687
mit_6_0002_comp_thinking_lec04,belgium_4g_rough,naive,88.606,0.028762,0.8448,0.1459,0.008,0.0013,0.9467
mit_6_0002_comp_thinking_lec04,campus_collapse,baseline,287.796,0.087745,1.0,0.0,0.0,0.0,0.9122
mit_6_0002_comp_thinking_lec04,campus_collapse,naive,26.904,0.008912,0.5557,0.4429,0.0,0.0013,0.925
